приложения недоступен	application unavailable	Anwendung nicht verfügbar	aplicación no disponible
указанную на его карточке. Тратить их можно на бустеры.	shown on its card. Spend stars on boosters.	auf seiner Karte. Du kannst Sterne für Verstärker ausgeben.	indicada en su tarjeta. Puedes gastarlas en potenciadores.
До начала уровня	Before the level	Vor dem Level	Antes del nivel
Манна с небес — 6	Manna from Heaven — 6	Manna vom Himmel — 6	Maná del cielo — 6
две трубы на поле), Масло светильника — 8	two trumpets), Lamp Oil — 8	zwei Posaunen), Lampenöl — 8	dos trompetas), Aceite de lámpara — 8
один свет), Радуга Завета — 12	one light), Covenant Rainbow — 12	ein Licht), Regenbogen des Bundes — 12	una luz), Arcoíris del pacto — 12
радужная фишка).	a rainbow piece).	ein Regenbogenstein).	una ficha arcoíris).
Во время уровня	During the level	Während des Levels	Durante el nivel
Праща Давида — 5	David Sling — 5	Davids Schleuder — 5	Honda de David — 5
удар по одной клетке), Посох Моисея — 7	hit one cell), Moses Staff — 7	Treffer auf eine Zelle), Moses Stab — 7	golpe en una casilla), Vara de Moisés — 7
весь столбец), Трубы Иерихона — 10	whole column), Trumpets of Jericho — 10	ganze Spalte), Posaunen von Jericho — 10	toda la columna), Trompetas de Jericó — 10
волна 3×3), Радуга Завета — 8	3×3 wave), Covenant Rainbow — 8	3×3-Welle), Regenbogen des Bundes — 8	onda de 3×3), Arcoíris del pacto — 8
делает выбранную фишку радужной).	turns the chosen piece into a rainbow).	verwandelt den gewählten Stein in einen Regenbogen).	convierte la ficha elegida en arcoíris).
Бустер во время уровня	An in-level booster	Ein Verstärker während des Levels	Un potenciador durante el nivel
не тратит ход	does not use a move	verbraucht keinen Zug	no gasta movimiento
Звёзды за уровень	Level stars	Levelsterne	Estrellas por nivel
После победы уровень оценивается тремя звёздами — по набранным очкам.	After winning, the level is rated up to three stars based on your score.	Nach einem Sieg erhält das Level bis zu drei Sterne anhand deiner Punkte.	Al ganar, el nivel recibe hasta tres estrellas según tu puntuación.
У каждого уровня три своих порога: первая звезда — это ровно цель уровня, вторая и третья выше.	Each level has three thresholds: the first star matches the goal, the others are higher.	Jedes Level hat drei Schwellen: Der erste Stern entspricht dem Ziel, die anderen liegen höher.	Cada nivel tiene tres umbrales: la primera estrella coincide con el objetivo y las otras son mayores.
Перепройти уровень ради третьей звезды можно в любой момент.	Replay any level anytime to earn the third star.	Wiederhole ein Level jederzeit für den dritten Stern.	Puedes repetir cualquier nivel para conseguir la tercera estrella.
Если ходов не осталось, а цели не выполнены — уровень не засчитан, прогресс на нём не теряется.	If moves run out before goals are met, the level is not completed; previous progress is kept.	Sind die Züge vor Erfüllung der Ziele aufgebraucht, ist das Level nicht geschafft; bisheriger Fortschritt bleibt.	Si se agotan los movimientos antes de cumplir los objetivos, el nivel no cuenta; el progreso anterior se conserva.
Если ходов нет	If no moves remain	Wenn keine Züge möglich sind	Si no quedan movimientos
Когда на поле не остаётся ни одного хода, поле перемешивается само и ход не тратится.	If no move is possible, the board shuffles automatically without using a move.	Ist kein Zug möglich, mischt sich das Feld automatisch, ohne einen Zug zu verbrauchen.	Si no hay movimientos posibles, el tablero se mezcla solo sin gastar un movimiento.
Соберите слова из набора букв	Build words from a set of letters	Bilde Wörter aus einem Buchstabensatz	Forma palabras con un conjunto de letras
Дан круг букв. Ведите пальцем по буквам, составляя слово.	Swipe across the letter wheel to make a word.	Wische über den Buchstabenkreis und bilde ein Wort.	Desliza por el círculo de letras para formar una palabra.
Уровень пройден, когда найдены все основные слова — они показаны пустыми клетками сверху.	Find all main words shown as empty cells above to complete the level.	Finde alle Hauptwörter in den leeren Feldern oben, um das Level abzuschließen.	Encuentra todas las palabras principales, mostradas como casillas vacías arriba, para completar el nivel.
Одно из основных слов всегда использует	One main word always uses	Ein Hauptwort nutzt immer	Una palabra principal siempre usa
все буквы	all letters	alle Buchstaben	todas las letras
уровня — с него часто проще начать.	in the level — it is often easiest to start there.	des Levels — damit lässt sich oft am leichtesten beginnen.	del nivel: suele ser lo más fácil para empezar.
Кроме основных есть	Besides main words there are	Neben Hauptwörtern gibt es	Además de las principales, hay
бонусные	bonus	Bonus-	extra
слова: они не нужны для прохождения, но за каждое дают награду.	words: optional for completion, but each earns a reward.	Wörter: Sie sind optional, geben aber jeweils eine Belohnung.	palabras: no son necesarias para completar el nivel, pero dan recompensa.
Бонусом засчитывается любое слово, которое встречается в Библии — в синодальном переводе.	Bonus words come from the selected language dictionary.	Bonuswörter stammen aus dem Wörterbuch der gewählten Sprache.	Las palabras extra proceden del diccionario del idioma elegido.
Слова вне его игра не принимает, о чём и говорит прямо.	Words outside that dictionary are not accepted.	Wörter außerhalb dieses Wörterbuchs werden nicht akzeptiert.	Las palabras fuera de ese diccionario no se aceptan.
Звёзды	Stars	Sterne	Estrellas
Пройденный уровень	Completed level	Abgeschlossenes Level	Nivel completado
один раз, повторное прохождение награду не даёт).	once; replays give no reward).	einmalig; Wiederholungen geben keine Belohnung).	una vez; repetirlo no da recompensa).
Бонусное слово	Bonus word	Bonuswort	Palabra extra
Открыть одну букву	Reveal one letter	Einen Buchstaben aufdecken	Revelar una letra
Открыть слово целиком	Reveal whole word	Ganzes Wort aufdecken	Revelar la palabra completa
Найдите слова в сетке букв	Find words in the letter grid	Finde Wörter im Buchstabengitter	Encuentra palabras en la cuadrícula
Слова спрятаны в сетке по прямой: по горизонтали, вертикали или диагонали	Words run in straight lines: horizontally, vertically or diagonally	Wörter verlaufen gerade: waagerecht, senkrecht oder diagonal	Las palabras van en línea recta: horizontal, vertical o diagonal
в любую сторону, в том числе задом наперёд. Проведите пальцем от первой буквы к последней.	in any direction, including backwards. Swipe from the first letter to the last.	in jede Richtung, auch rückwärts. Wische vom ersten zum letzten Buchstaben.	en cualquier dirección, también al revés. Desliza de la primera letra a la última.
Найденное слово	Found word	Gefundenes Wort	Palabra encontrada
Откройте слово по буквам, пока горит светильник	Reveal the word before the lamp goes out	Entdecke das Wort, bevor die Lampe erlischt	Descubre la palabra antes de que se apague la lámpara
Загадано слово. Известны его категория и подсказка. Называйте буквы	A word is hidden. You know its category and hint. Guess letters	Ein Wort ist versteckt. Du kennst Kategorie und Hinweis. Rate Buchstaben	Hay una palabra oculta. Conoces su categoría y una pista. Adivina letras
угаданная открывается во всех местах сразу, неверная гасит светильник на одно деление.	a correct letter is revealed everywhere; a wrong one dims the lamp by one step.	ein richtiger wird überall aufgedeckt, ein falscher dimmt die Lampe um eine Stufe.	una correcta se revela en todas sus posiciones; una incorrecta apaga una parte de la lámpara.
Всего допускается	Mistakes allowed:	Erlaubte Fehler:	Errores permitidos:
на восьмой светильник гаснет и раунд заканчивается.	on the eighth, the lamp goes out and the round ends.	beim achten erlischt die Lampe und die Runde endet.	al octavo, la lámpara se apaga y termina la ronda.
Уровень можно выбрать вручную в списке сверху и вернуться к любому пройденному.	Choose a level from the list above to revisit completed levels.	Wähle oben ein Level, um abgeschlossene Level erneut zu spielen.	Elige un nivel en la lista superior para volver a los completados.
Трёхмерный забег по реке	A 3D river run	Ein 3D-Lauf auf dem Fluss	Un recorrido 3D por el río
Корзинку несёт течением. Меняйте дорожку, поднимайтесь на волне через брёвна и	The current carries the basket. Change lanes, ride waves over logs and	Die Strömung trägt das Körbchen. Wechsle die Spur, reite auf Wellen über Baumstämme und	La corriente lleva la cesta. Cambia de carril, salta troncos con las olas y
ныряйте под нависший папирус. Чем дальше уплыли, тем быстрее становится река.	dive under hanging papyrus. The farther you travel, the faster the river flows.	tauche unter hängenden Papyrus. Je weiter du kommst, desto schneller fließt der Fluss.	sumérgete bajo el papiro. Cuanto más avanzas, más rápido fluye el río.
Влево и вправо	Left and right	Links und rechts	Izquierda y derecha
смена дорожки: кнопки, стрелки или свайп.	change lanes using buttons, arrow keys or swipes.	Spur wechseln per Schaltfläche, Pfeiltaste oder Wischen.	cambia de carril con botones, flechas o deslizamientos.
Вверх	Up	Nach oben	Arriba
волна: перебросит через бревно.	wave: carries you over a log.	Welle: trägt dich über einen Baumstamm.	ola: te lleva por encima de un tronco.
Вниз	Down	Nach unten	Abajo
нырок: проведёт под зарослями.	dive: takes you beneath the reeds.	tauchen: führt dich unter den Pflanzen hindurch.	buceo: te lleva bajo la vegetación.
Три сердца на весь путь. Крокодил, бегемот и борт ладьи отнимают по одному.	Three hearts for the journey. Crocodiles, hippos and boat sides each cost one.	Drei Herzen für die Reise. Krokodile, Nilpferde und Bootsseiten kosten je eines.	Tres corazones para el viaje. Cocodrilos, hipopótamos y barcos quitan uno cada vez.
Четыре знака встречаются по дороге и работают ограниченное время.	Four power-ups appear along the way and last for a limited time.	Vier Verstärker erscheinen unterwegs und wirken begrenzte Zeit.	Hay cuatro potenciadores en el camino que duran un tiempo limitado.
пузырь обволакивает корзинку и гасит один удар.	a bubble surrounds the basket and blocks one hit.	eine Blase umgibt das Körbchen und blockiert einen Treffer.	una burbuja rodea la cesta y bloquea un golpe.
лотосы сами сворачивают к корзинке.	lotuses move toward the basket.	Lotusblüten bewegen sich zum Körbchen.	los lotos se acercan a la cesta.
течение несёт быстрее.	the current carries you faster.	die Strömung trägt dich schneller.	la corriente te lleva más rápido.
возвращает потерянное сердце, а при полных — даёт очки.	restores a heart, or gives points if hearts are full.	stellt ein Herz wieder her oder gibt Punkte bei vollen Herzen.	recupera un corazón o da puntos si ya están completos.
Парные карточки для самых маленьких	Matching cards for little ones	Paarkarten für die Kleinsten	Parejas de cartas para los más pequeños
Открывайте по две карточки. Совпали — остаются открытыми, нет — закрываются обратно.	Flip two cards. Matches stay open; others turn back over.	Decke zwei Karten auf. Paare bleiben offen, andere drehen sich wieder um.	Voltea dos cartas. Las parejas quedan abiertas; las otras se tapan.
Цель — открыть все пары.	Find all pairs to win.	Finde alle Paare.	El objetivo es descubrir todas las parejas.
поле 4×4, 8 пар, две подсказки.	4×4 board, 8 pairs, two hints.	4×4-Feld, 8 Paare, zwei Tipps.	tablero 4×4, 8 parejas, dos pistas.
пар и сюрприз, две подсказки.	pairs and a surprise, two hints.	Paare und eine Überraschung, zwei Tipps.	parejas y una sorpresa, dos pistas.
Сложный	Hard	Schwer	Difícil
пар, одна подсказка.	pairs, one hint.	Paare, ein Tipp.	parejas, una pista.
В режиме «Спокойно» таймера нет. В режиме «На скорость» идёт время и ведутся рекорды, а подсказка добавляет 5 секунд.	Relaxed mode has no timer. Timed mode tracks time and records; a hint adds 5 seconds.	Entspannt hat keinen Timer. Auf Zeit erfasst Zeit und Rekorde; ein Tipp fügt 5 Sekunden hinzu.	El modo Tranquilo no tiene reloj. Contrarreloj registra tiempo y récords; una pista añade 5 segundos.
Объясняйте слова на время	Explain words against the clock	Erklärt Wörter auf Zeit	Explicad palabras contrarreloj
Команды по очереди объясняют слова, не называя однокоренных.	Teams take turns explaining words without using related word forms.	Teams erklären abwechselnd Wörter, ohne verwandte Wortformen zu nennen.	Los equipos explican palabras por turnos sin usar palabras de la misma raíz.
Пока идёт время, ведущий отмечает: угадали, не угадали или пропустить.	While time runs, the host marks guessed, not guessed or skipped.	Während die Zeit läuft, markiert der Gastgeber erraten, nicht erraten oder übersprungen.	Mientras corre el tiempo, se marca acertada, no acertada o saltada.
Длительность раунда настраивается — от 1 до 180 секунд.	Round duration can be set from 1 to 180 seconds.	Die Rundendauer ist von 1 bis 180 Sekunden einstellbar.	La duración de la ronda se ajusta entre 1 y 180 segundos.
Угаданное слово приносит очко команде, пропущенное — нет.	A guessed word earns the team a point; a skipped word does not.	Ein erratenes Wort gibt dem Team einen Punkt, ein übersprungenes nicht.	Una palabra acertada da un punto al equipo; una saltada no.
Использованные слова можно сбросить, чтобы играть колодой заново.	Reset used words to play the deck again.	Setze verwendete Wörter zurück, um den Stapel erneut zu spielen.	Restablece las palabras usadas para volver a jugar la baraja.
Секретная роль и общая локация	Secret role and shared location	Geheime Rolle und gemeinsamer Ort	Rol secreto y lugar común
Телефон передаётся по кругу: каждый смотрит свою карточку так, чтобы не видели остальные.	Pass the phone around so each player can view their card privately.	Gebt das Handy weiter, damit jeder seine Karte geheim ansehen kann.	Pasad el teléfono para que cada uno vea su carta en privado.
Все, кроме соглядатаев, знают локацию; соглядатаи не знают ничего.	Everyone except the spies knows the location; spies do not.	Alle außer den Spionen kennen den Ort; die Spione nicht.	Todos menos los espías conocen el lugar; los espías no.
От 3 до 20 игроков, соглядатаев всегда меньше, чем игроков.	3 to 20 players, with fewer spies than players.	3 bis 20 Spieler, mit weniger Spionen als Spielern.	De 3 a 20 jugadores, con menos espías que jugadores.
Дальше — разговор: задавайте вопросы так, чтобы свои поняли, а соглядатай нет.	Then discuss: ask questions fellow citizens understand but the spy will not.	Dann diskutiert: Stellt Fragen, die Bürger verstehen, aber Spione nicht.	Después debatid: haced preguntas que entiendan los ciudadanos, pero no los espías.
Голосованием ищут соглядатая, соглядатай пытается угадать локацию.	Vote to find the spy, while the spy tries to guess the location.	Stimmt ab, um den Spion zu finden, während er den Ort errät.	Votad para encontrar al espía, mientras él intenta adivinar el lugar.
В онлайне каждый круг голосования выгоняет одного, а роли открываются только в конце партии	Online, each vote eliminates one player and roles are revealed only at the end	Online scheidet bei jeder Abstimmung einer aus; Rollen werden erst am Ende aufgedeckt	En línea, cada votación expulsa a uno y los roles se revelan al final
пока хоть один соглядатай за столом, игра продолжается.	the game continues while at least one spy remains.	das Spiel geht weiter, solange mindestens ein Spion dabei ist.	la partida continúa mientras quede al menos un espía.
Соглядатаям в онлайне доступен свой закрытый чат — стол его не видит.	Online spies have a private chat hidden from other players.	Onlinespione haben einen privaten Chat, den andere Spieler nicht sehen.	Los espías en línea tienen un chat privado oculto a los demás.
Соберите четыре карты одной группы	Collect four cards in a group	Sammle vier Karten einer Gruppe	Reúne cuatro cartas de un grupo
В каждой группе четыре карты. Побеждает тот, кто соберёт больше полных квартетов.	Each group has four cards. The player with the most complete quartets wins.	Jede Gruppe hat vier Karten. Wer die meisten vollständigen Quartette sammelt, gewinnt.	Cada grupo tiene cuatro cartas. Gana quien reúna más cuartetos completos.
В свой ход выберите соперника, затем недостающую карту из своей группы и спросите её.	On your turn, choose an opponent and ask for a missing card from your group.	Wähle bei deinem Zug einen Mitspieler und frage nach einer fehlenden Karte deiner Gruppe.	En tu turno, elige un rival y pide una carta que te falte de tu grupo.
Карта есть у соперника — она сразу переходит к вам, и ход продолжается.	If the opponent has it, you receive it and keep your turn.	Hat der Mitspieler sie, bekommst du sie und bleibst dran.	Si el rival la tiene, la recibes y conservas el turno.
Карты нет или вышло время — ход переходит следующему игроку.	If the card is missing or time runs out, the next player takes over.	Fehlt die Karte oder läuft die Zeit ab, ist der Nächste dran.	Si no la tiene o se acaba el tiempo, pasa el turno al siguiente.
Собранный квартет засчитывается сам.	Completed quartets count automatically.	Vollständige Quartette zählen automatisch.	Los cuartetos completos se cuentan automáticamente.
Тема и буква — придумайте ответ	A theme and a letter: think of an answer	Thema und Buchstabe: Finde eine Antwort	Un tema y una letra: piensa una respuesta
На экране тема и буква. Все одновременно придумывают подходящее слово на эту букву.	A theme and letter appear. Everyone thinks of a matching word starting with that letter.	Ein Thema und Buchstabe erscheinen. Alle suchen gleichzeitig ein passendes Wort mit diesem Anfangsbuchstaben.	Aparecen un tema y una letra. Todos piensan una palabra adecuada que empiece por esa letra.
Кто первым назвал — тот и прав; спорные ответы решает компания.	The first valid answer wins; the group settles disputed answers.	Die erste gültige Antwort gewinnt; bei Streit entscheidet die Gruppe.	Gana la primera respuesta válida; el grupo decide las dudosas.
Вопросы, версии и логика	Questions, guesses and logic	Fragen, Vermutungen und Logik	Preguntas, hipótesis y lógica
Каждый по очереди смотрит своего персонажа и никому его не показывает.	Each player views their character privately in turn.	Jeder sieht sich abwechselnd seine Person geheim an.	Cada jugador mira su personaje en privado por turnos.
Дальше игроки задают вопросы, на которые можно ответить «да» или «нет», и вычисляют, кто им достался.	Then ask yes-or-no questions to work out your character.	Stellt danach Ja-Nein-Fragen, um eure Person zu erraten.	Después haced preguntas de sí o no para descubrir el personaje.
Игроки по очереди смотрят своё слово и объясняют его, не называя напрямую.	Players view their words in turn and explain them without naming them.	Spieler sehen ihre Wörter abwechselnd und erklären sie, ohne sie zu nennen.	Los jugadores ven su palabra por turnos y la explican sin nombrarla.
Можно говорить о признаках, назначении и ассоциациях. От 2 до 15 участников.	Use traits, purpose and associations. For 2 to 15 players.	Nutze Eigenschaften, Verwendung und Assoziationen. Für 2 bis 15 Spieler.	Usa características, funciones y asociaciones. De 2 a 15 jugadores.
Собери четыре связанные карты	Collect four related cards	Sammle vier zusammengehörige Karten	Reúne cuatro cartas relacionadas
Комбинации, бустеры и путь из 50 уровней	Combos, boosters and a 50-level journey	Kombinationen, Verstärker und 50 Level	Combinaciones, potenciadores y un camino de 50 niveles
звезда	star	Stern	estrella
звезды	stars	Sterne	estrellas
ничего не пройдено	nothing completed yet	noch nichts abgeschlossen	aún no hay nada completado
Уровни, звёзды за них и рекорды свободной игры. Кошелёк со звёздами останется.	Levels, their star ratings and free-play records. Your star balance remains.	Level, ihre Sternebewertungen und Freispielrekorde. Dein Sterneguthaben bleibt.	Niveles, sus valoraciones y récords de juego libre. Tu saldo de estrellas se conserva.
пройдено	completed	abgeschlossen	completado
После сброса слова перераспределятся между уровнями — набор букв тот же, слова другие.	Reset redistributes words among levels, keeping letter sets but changing words.	Zurücksetzen verteilt Wörter neu auf Level; Buchstabensätze bleiben, Wörter ändern sich.	El reinicio redistribuye palabras entre niveles: se mantienen las letras, cambian las palabras.
Уровни пойдут в новом порядке, а сетки букв игра разложит заново.	Levels get a new order and letter grids are rebuilt.	Level erhalten eine neue Reihenfolge und Buchstabengitter werden neu aufgebaut.	Los niveles cambian de orden y se regeneran las cuadrículas.
Игра начнётся с первого слова.	The game starts from the first word.	Das Spiel beginnt beim ersten Wort.	El juego empieza desde la primera palabra.
рекорда	records	Rekorde	récords
рекордов	records	Rekorde	récords
рекордов нет	no records	keine Rekorde	sin récords
Рекорды на скорость и счётчик партий.	Speed records and game count.	Zeitrekorde und Partienzähler.	Récords de velocidad y contador de partidas.
Наведите камеру на	Point your camera at	Richte die Kamera auf	Apunta la cámara a
Сделайте свайп	Swipe a piece	Wische einen Stein	Desliza una ficha
Проведите одну фишку к соседней. Если после обмена получится ряд из 3 и более одинаковых символов, они исчезнут, а новые фишки упадут сверху.	Swipe a piece toward its neighbor. A row of 3 or more matching symbols disappears and new pieces fall from above.	Wische einen Stein zum Nachbarn. Eine Reihe aus mindestens 3 gleichen Symbolen verschwindet; neue Steine fallen von oben.	Desliza una ficha hacia la vecina. Una fila de 3 o más iguales desaparece y caen fichas nuevas.
Свайпните соседние фишки	Swipe adjacent pieces	Wische benachbarte Steine	Desliza fichas adyacentes
Следите за целями	Watch the goals	Achte auf die Ziele	Vigila los objetivos
Перед каждым ходом смотрите сюда: уровень может требовать очки, определённый символ или разрушение препятствий. Победа засчитывается только после выполнения всех целей.	Check here before each move: goals may require points, symbols or cleared obstacles. Complete every goal to win.	Sieh vor jedem Zug hierher: Ziele verlangen Punkte, Symbole oder entfernte Hindernisse. Erfülle alle Ziele zum Sieg.	Mira aquí antes de cada movimiento: los objetivos piden puntos, símbolos u obstáculos eliminados. Cumple todos para ganar.
Цели текущего уровня	Current level goals	Ziele des aktuellen Levels	Objetivos del nivel actual
У поля есть границы	The board has boundaries	Das Feld hat Grenzen	El tablero tiene límites
Играть можно только внутри подсвеченного контура. На следующих уровнях поле меняет форму: овал, ромб, крест, полукруг или щит. Пустые зоны за контуром недоступны.	Play only inside the highlighted outline. Later boards may be oval, diamond, cross, semicircle or shield shaped. Empty areas outside are unavailable.	Spiele nur innerhalb der leuchtenden Umrandung. Spätere Felder sind oval, rautenförmig, kreuzförmig, halbkreisförmig oder schildförmig. Leere Bereiche außen sind nicht bespielbar.	Juega solo dentro del contorno iluminado. Los siguientes tableros tienen forma ovalada, de rombo, cruz, semicírculo o escudo. Fuera del contorno no se puede jugar.
Граница игрового поля	Board boundary	Spielfeldgrenze	Límite del tablero
Разрушайте препятствия	Break obstacles	Zerstöre Hindernisse	Destruye obstáculos
Цепи, скрижали, лампады и тернии усложняют поле. Скрижаль получает урон при очистке своей клетки, цепь — от подходящего воздействия, лампаду нужно зажечь. Тернии выжигаются только совпадением прямо на них — и, пока их не трогают, сами разрастаются на соседние клетки. Цифра показывает оставшиеся слои.	Chains, tablets, lamps and thorns make the board harder. Tablets take damage when their cell is cleared; chains respond to matching effects; lamps must be lit. Thorns need direct matches and spread if left alone. The number shows remaining layers.	Ketten, Tafeln, Lampen und Dornen erschweren das Feld. Tafeln erleiden Schaden beim Leeren ihrer Zelle, Ketten durch passende Treffer; Lampen müssen leuchten. Dornen brauchen direkte Treffer und breiten sich sonst aus. Die Zahl zeigt übrige Schichten.	Cadenas, tablas, lámparas y espinas complican el tablero. Las tablas se dañan al limpiar su casilla; las cadenas, con efectos adecuados; las lámparas deben encenderse. Las espinas exigen combinaciones directas y crecen si se dejan. El número indica capas restantes.
Препятствия на фишках	Obstacles on pieces	Hindernisse auf Steinen	Obstáculos en las fichas
Опускайте ковчег	Bring the ark down	Senke die Bundeslade ab	Baja el arca
Ковчег двигать нельзя. Убирайте фишки под ним, чтобы он падал всё ниже, — цель засчитывается, когда ковчег дойдёт до подсвеченного нижнего ряда.	The ark cannot be moved. Clear pieces below it until it reaches the highlighted bottom row to complete the goal.	Die Bundeslade kann nicht bewegt werden. Entferne Steine darunter, bis sie die markierte unterste Reihe erreicht.	El arca no se puede mover. Elimina fichas debajo hasta que alcance la última fila iluminada para cumplir el objetivo.
Ковчег идёт вниз	The ark moves down	Die Bundeslade sinkt	El arca baja
Используйте усилители	Use boosters	Nutze Verstärker	Usa potenciadores
Праща, Посох, Трубы и Ноев ковчег помогают в сложный момент. Они тратят звёзды, но не расходуют игровой ход.	Sling, Staff, Trumpets and the Ark help in tough moments. They cost stars but do not use a move.	Schleuder, Stab, Posaunen und Arche helfen bei Schwierigkeiten. Sie kosten Sterne, aber keinen Zug.	Honda, Vara, Trompetas y Arca ayudan en momentos difíciles. Gastan estrellas, pero no movimientos.
Горизонтальный усилитель	Horizontal booster	Horizontaler Verstärker	Potenciador horizontal
Вертикальный усилитель	Vertical booster	Vertikaler Verstärker	Potenciador vertical
Взрывной усилитель	Explosive booster	Explosionsverstärker	Potenciador explosivo
Радужный усилитель	Rainbow booster	Regenbogenverstärker	Potenciador arcoíris
Выйти из профиля	Sign out	Abmelden	Cerrar sesión
Прогресс синхронизируется с	Progress syncs with	Fortschritt wird synchronisiert mit	El progreso se sincroniza con
Вход в профиль	Sign in	Anmelden	Iniciar sesión
Код из бота — и звёзды с уровнями будут те же, что в	Use a bot code to get the same stars and levels as in	Mit einem Botcode erhältst du dieselben Sterne und Level wie in	Con un código del bot tendrás las mismas estrellas y niveles que en
Предметы	Objects	Gegenstände	Objetos
Ковчег, жезл, скрижали и другие предметы	Ark, staff, tablets and other objects	Arche, Stab, Tafeln und weitere Gegenstände	Arca, vara, tablas y otros objetos
Места	Places	Orte	Lugares
Города, земли, горы и места событий	Cities, lands, mountains and places of events	Städte, Länder, Berge und Schauplätze	Ciudades, tierras, montañas y escenarios
Люди	People	Menschen	Personas
Персонажи Ветхого и Нового Завета	People of the Old and New Testaments	Personen des Alten und Neuen Testaments	Personajes del Antiguo y Nuevo Testamento
События	Events	Ereignisse	Sucesos
События и короткие фразы из библейского текста	Events and short phrases from the Bible	Ereignisse und kurze Wendungen aus der Bibel	Sucesos y frases breves de la Biblia
Природа	Nature	Natur	Naturaleza
Звери, птицы, деревья и небесные знамения	Animals, birds, trees and heavenly signs	Tiere, Vögel, Bäume und Himmelszeichen	Animales, aves, árboles y señales celestiales
Ремёсла	Crafts	Handwerk	Oficios
Пастух, горшечник, сеятель и другие занятия	Shepherd, potter, sower and other occupations	Hirte, Töpfer, Sämann und andere Berufe	Pastor, alfarero, sembrador y otros oficios
Шпион назвал слово досрочно, и приложение подтвердило точное совпадение.	The spy guessed early with an exact match.	Der Spion hat das Wort vorzeitig genau erraten.	El espía acertó la palabra antes de tiempo con coincidencia exacta.
Шпион назвал слово досрочно, и художники засчитали его ответ.	The spy guessed early and the artists accepted the answer.	Der Spion antwortete vorzeitig und die Künstler akzeptierten die Antwort.	El espía respondió antes de tiempo y los artistas aceptaron la respuesta.
Шпиона нашли, но он точно назвал слово в последней попытке.	The spy was found but guessed the word on the final attempt.	Der Spion wurde gefunden, erriet aber das Wort im letzten Versuch.	Encontraron al espía, pero acertó la palabra en el último intento.
Шпиона нашли, но команда засчитала его финальный ответ.	The spy was found but the team accepted the final answer.	Der Spion wurde gefunden, aber das Team akzeptierte seine letzte Antwort.	Encontraron al espía, pero el equipo aceptó su respuesta final.
Шпиона нашли, а его последний ответ команда не засчитала.	The spy was found and the team rejected the final answer.	Der Spion wurde gefunden und das Team lehnte seine letzte Antwort ab.	Encontraron al espía y el equipo rechazó su respuesta final.
Шпиона нашли, но он не успел назвать слово.	The spy was found but ran out of time to answer.	Der Spion wurde gefunden, antwortete aber nicht rechtzeitig.	Encontraron al espía, pero no respondió a tiempo.
После рисунков команда выбрала не того игрока.	The team chose the wrong player after drawing.	Das Team wählte nach dem Zeichnen den falschen Spieler.	El equipo eligió al jugador equivocado tras dibujar.
Голоса разделились, поэтому шпион остался нераскрытым.	The vote was tied, so the spy remained hidden.	Die Abstimmung war unentschieden, daher blieb der Spion unerkannt.	Hubo empate, así que el espía quedó oculto.
Шпион покинул раунд.	The spy left the round.	Der Spion hat die Runde verlassen.	El espía abandonó la ronda.
В комнате осталось слишком мало игроков для продолжения.	Too few players remain to continue.	Zu wenige Spieler zum Fortsetzen übrig.	Quedan muy pocos jugadores para continuar.
Манна	Manna	Manna	Maná
Две направленные особые фишки в начале уровня.	Two directional special pieces at level start.	Zwei gerichtete Spezialsteine zu Levelbeginn.	Dos fichas especiales direccionales al empezar.
Масло	Oil	Öl	Aceite
Один светильник-вспышка в начале уровня.	One flash lamp at level start.	Eine Blitzlampe zu Levelbeginn.	Una lámpara de destello al empezar.
Радуга	Rainbow	Regenbogen	Arcoíris
Одна радужная фишка, очищающая выбранный символ.	One rainbow piece that clears a selected symbol.	Ein Regenbogenstein, der ein gewähltes Symbol entfernt.	Una ficha arcoíris que elimina el símbolo elegido.
Праща Давида	David Sling	Davids Schleuder	Honda de David
Точный удар по одной клетке.	A precise hit on one cell.	Ein präziser Treffer auf eine Zelle.	Un golpe preciso en una casilla.
Посох Моисея	Moses Staff	Moses Stab	Vara de Moisés
Очищает выбранный столбец.	Clears the chosen column.	Entfernt die gewählte Spalte.	Limpia la columna elegida.
Трубы Иерихона	Trumpets of Jericho	Posaunen von Jericho	Trompetas de Jericó
Мощная ударная волна 3×3.	A powerful 3×3 shockwave.	Eine starke 3×3-Druckwelle.	Una potente onda de 3×3.
Превращает выбранную фишку в радужную.	Turns the chosen piece into a rainbow.	Verwandelt den gewählten Stein in einen Regenbogen.	Convierte la ficha elegida en arcoíris.
классическое	classic	klassisch	clásico
овальное	oval	oval	ovalado
полукруг	semicircle	Halbkreis	semicírculo
ромб	diamond	Raute	rombo
крест	cross	Kreuz	cruz
щит	shield	Schild	escudo
Соберите три	Match three	Kombiniere drei	Combina tres
Смахните фишку к соседней. Совпадение из трёх исчезнет, а новые фишки упадут сверху.	Swipe toward a neighboring piece. Three matches disappear and new pieces fall from above.	Wische zu einem Nachbarstein. Drei gleiche verschwinden und neue fallen von oben.	Desliza hacia una ficha vecina. Tres iguales desaparecen y caen otras nuevas.
Смотрите на цели	Check the goals	Prüfe die Ziele	Mira los objetivos
